,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,META,META,META,META,META,META,META,META,META,UNH,UNH,UNH,UNH,UNH,UNH,UNH,UNH,UNH,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,V,V,V,V,V,V,V,V,V,PG,PG,PG,PG,PG,PG,PG,PG,PG,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,HD,HD,HD,HD,HD,HD,HD,HD,HD,CVX,CVX,CVX,CVX,CVX,CVX,CVX,CVX,CVX,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,PEP,PEP,PEP,PEP,PEP,PEP,PEP,PEP,PEP,KO,KO,KO,KO,KO,KO,KO,KO,KO,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,TMO,TMO,TMO,TMO,TMO,TMO,TMO,TMO,TMO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,ACN,ACN,ACN,ACN,ACN,ACN,ACN,ACN,ACN,DHR,DHR,DHR,DHR,DHR,DHR,DHR,DHR,DHR,MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,BMY,BMY,BMY,BMY,BMY,BMY,BMY,BMY,BMY,CRM,CRM,CRM,CRM,CRM,CRM,CRM,CRM,CRM,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,TXN,TXN,TXN,TXN,TXN,TXN,TXN,TXN,TXN,INTC,INTC,INTC,INTC,INTC,INTC,INTC,INTC,INTC,HON,HON,HON,HON,HON,HON,HON,HON,HON,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,PM,PM,PM,PM,PM,PM,PM,PM,PM,NEE,NEE,NEE,NEE,NEE,NEE,NEE,NEE,NEE,UNP,UNP,UNP,UNP,UNP,UNP,UNP,UNP,UNP,WFC,WFC,WFC,WFC,WFC,WFC,WFC,WFC,WFC,VZ,VZ,VZ,VZ,VZ,VZ,VZ,VZ,VZ,MS,MS,MS,MS,MS,MS,MS,MS,MS,RTX,RTX,RTX,RTX,RTX,RTX,RTX,RTX,RTX,GS,GS,GS,GS,GS,GS,GS,GS,GS,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,QCOM,QCOM,QCOM,QCOM,QCOM,QCOM,QCOM,QCOM,QCOM,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,CVS,CVS,CVS,CVS,CVS,CVS,CVS,CVS,CVS,SCHW,SCHW,SCHW,SCHW,SCHW,SCHW,SCHW,SCHW,SCHW,COP,COP,COP,COP,COP,COP,COP,COP,COP,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,SPGI,SPGI,SPGI,SPGI,SPGI,SPGI,SPGI,SPGI,SPGI,BA,BA,BA,BA,BA,BA,BA,BA,BA,LMT,LMT,LMT,LMT,LMT,LMT,LMT,LMT,LMT,DE,DE,DE,DE,DE,DE,DE,DE,DE,INTU,INTU,INTU,INTU,INTU,INTU,INTU,INTU,INTU,GE,GE,GE,GE,GE,GE,GE,GE,GE,MDT,MDT,MDT,MDT,MDT,MDT,MDT,MDT,MDT,AMT,AMT,AMT,AMT,AMT,AMT,AMT,AMT,AMT,NOW,NOW,NOW,NOW,NOW,NOW,NOW,NOW,NOW,ISRG,ISRG,ISRG,ISRG,ISRG,ISRG,ISRG,ISRG,ISRG,BKNG,BKNG,BKNG,BKNG,BKNG,BKNG,BKNG,BKNG,BKNG,GILD,GILD,GILD,GILD,GILD,GILD,GILD,GILD,GILD,PLD,PLD,PLD,PLD,PLD,PLD,PLD,PLD,PLD,SYK,SYK,SYK,SYK,SYK,SYK,SYK,SYK,SYK,T,T,T,T,T,T,T,T,T,ADI,ADI,ADI,ADI,ADI,ADI,ADI,ADI,ADI,BLK,BLK,BLK,BLK,BLK,BLK,BLK,BLK,BLK,PYPL,PYPL,PYPL,PYPL,PYPL,PYPL,PYPL,PYPL,PYPL,MO,MO,MO,MO,MO,MO,MO,MO,MO,MMC,MMC,MMC,MMC,MMC,MMC,MMC,MMC,MMC,ZTS,ZTS,ZTS,ZTS,ZTS,ZTS,ZTS,ZTS,ZTS,TGT,TGT,TGT,TGT,TGT,TGT,TGT,TGT,TGT,C,C,C,C,C,C,C,C,C,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,CI,CI,CI,CI,CI,CI,CI,CI,CI,DUK,DUK,DUK,DUK,DUK,DUK,DUK,DUK,DUK,SO,SO,SO,SO,SO,SO,SO,SO,SO,CSX,CSX,CSX,CSX,CSX,CSX,CSX,CSX,CSX,BDX,BDX,BDX,BDX,BDX,BDX,BDX,BDX,BDX,PNC,PNC,PNC,PNC,PNC,PNC,PNC,PNC,PNC,USB,USB,USB,USB,USB,USB,USB,USB,USB,VRTX,VRTX,VRTX,VRTX,VRTX,VRTX,VRTX,VRTX,VRTX,MU,MU,MU,MU,MU,MU,MU,MU,MU,CB,CB,CB,CB,CB,CB,CB,CB,CB,CL,CL,CL,CL,CL,CL,CL,CL,CL,REGN,REGN,REGN,REGN,REGN,REGN,REGN,REGN,REGN,SHW,SHW,SHW,SHW,SHW,SHW,SHW,SHW,SHW,ELV,ELV,ELV,ELV,ELV,ELV,ELV,ELV,ELV,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,EQIX,EQIX,EQIX,EQIX,EQIX,EQIX,EQIX,EQIX,EQIX,APD,APD,APD,APD,APD,APD,APD,APD,APD,GM,GM,GM,GM,GM,GM,GM,GM,GM,ETN,ETN,ETN,ETN,ETN,ETN,ETN,ETN,ETN
Price,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,20d Volatility,20d MA
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,,,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B,,,,,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,META,META,META,META,META,,,,,UNH,UNH,UNH,UNH,UNH,,,,,JNJ,JNJ,JNJ,JNJ,JNJ,,,,,JPM,JPM,JPM,JPM,JPM,,,,,V,V,V,V,V,,,,,PG,PG,PG,PG,PG,,,,,XOM,XOM,XOM,XOM,XOM,,,,,HD,HD,HD,HD,HD,,,,,CVX,CVX,CVX,CVX,CVX,,,,,MRK,MRK,MRK,MRK,MRK,,,,,PEP,PEP,PEP,PEP,PEP,,,,,KO,KO,KO,KO,KO,,,,,ABBV,ABBV,ABBV,ABBV,ABBV,,,,,ADBE,ADBE,ADBE,ADBE,ADBE,,,,,WMT,WMT,WMT,WMT,WMT,,,,,TMO,TMO,TMO,TMO,TMO,,,,,CSCO,CSCO,CSCO,CSCO,CSCO,,,,,ACN,ACN,ACN,ACN,ACN,,,,,DHR,DHR,DHR,DHR,DHR,,,,,MCD,MCD,MCD,MCD,MCD,,,,,BMY,BMY,BMY,BMY,BMY,,,,,CRM,CRM,CRM,CRM,CRM,,,,,NFLX,NFLX,NFLX,NFLX,NFLX,,,,,LIN,LIN,LIN,LIN,LIN,,,,,TXN,TXN,TXN,TXN,TXN,,,,,INTC,INTC,INTC,INTC,INTC,,,,,HON,HON,HON,HON,HON,,,,,AMD,AMD,AMD,AMD,AMD,,,,,PM,PM,PM,PM,PM,,,,,NEE,NEE,NEE,NEE,NEE,,,,,UNP,UNP,UNP,UNP,UNP,,,,,WFC,WFC,WFC,WFC,WFC,,,,,VZ,VZ,VZ,VZ,VZ,,,,,MS,MS,MS,MS,MS,,,,,RTX,RTX,RTX,RTX,RTX,,,,,GS,GS,GS,GS,GS,,,,,AMGN,AMGN,AMGN,AMGN,AMGN,,,,,IBM,IBM,IBM,IBM,IBM,,,,,QCOM,QCOM,QCOM,QCOM,QCOM,,,,,CAT,CAT,CAT,CAT,CAT,,,,,AXP,AXP,AXP,AXP,AXP,,,,,CVS,CVS,CVS,CVS,CVS,,,,,SCHW,SCHW,SCHW,SCHW,SCHW,,,,,COP,COP,COP,COP,COP,,,,,LOW,LOW,LOW,LOW,LOW,,,,,SPGI,SPGI,SPGI,SPGI,SPGI,,,,,BA,BA,BA,BA,BA,,,,,LMT,LMT,LMT,LMT,LMT,,,,,DE,DE,DE,DE,DE,,,,,INTU,INTU,INTU,INTU,INTU,,,,,GE,GE,GE,GE,GE,,,,,MDT,MDT,MDT,MDT,MDT,,,,,AMT,AMT,AMT,AMT,AMT,,,,,NOW,NOW,NOW,NOW,NOW,,,,,ISRG,ISRG,ISRG,ISRG,ISRG,,,,,BKNG,BKNG,BKNG,BKNG,BKNG,,,,,GILD,GILD,GILD,GILD,GILD,,,,,PLD,PLD,PLD,PLD,PLD,,,,,SYK,SYK,SYK,SYK,SYK,,,,,T,T,T,T,T,,,,,ADI,ADI,ADI,ADI,ADI,,,,,BLK,BLK,BLK,BLK,BLK,,,,,PYPL,PYPL,PYPL,PYPL,PYPL,,,,,MO,MO,MO,MO,MO,,,,,MMC,MMC,MMC,MMC,MMC,,,,,ZTS,ZTS,ZTS,ZTS,ZTS,,,,,TGT,TGT,TGT,TGT,TGT,,,,,C,C,C,C,C,,,,,ADP,ADP,ADP,ADP,ADP,,,,,CI,CI,CI,CI,CI,,,,,DUK,DUK,DUK,DUK,DUK,,,,,SO,SO,SO,SO,SO,,,,,CSX,CSX,CSX,CSX,CSX,,,,,BDX,BDX,BDX,BDX,BDX,,,,,PNC,PNC,PNC,PNC,PNC,,,,,USB,USB,USB,USB,USB,,,,,VRTX,VRTX,VRTX,VRTX,VRTX,,,,,MU,MU,MU,MU,MU,,,,,CB,CB,CB,CB,CB,,,,,CL,CL,CL,CL,CL,,,,,REGN,REGN,REGN,REGN,REGN,,,,,SHW,SHW,SHW,SHW,SHW,,,,,ELV,ELV,ELV,ELV,ELV,,,,,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ,,,,,EQIX,EQIX,EQIX,EQIX,EQIX,,,,,APD,APD,APD,APD,APD,,,,,GM,GM,GM,GM,GM,,,,,ETN,ETN,ETN,ETN,ETN,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
